省市縣市代碼,鄉鎮市區代碼,村里,鄰,街路段,地區,巷,弄,號,X,Y
64,6400100,中原里,1,七賢三路,,,,１１０號,176205.163,2503011.609
64,6400100,中原里,1,七賢三路,,,,１１２號,176205.478,2503017.914
64,6400100,中原里,1,七賢三路,,,,１１４之４號,176225.68,2503013.914
64,6400100,中原里,1,七賢三路,,,,１１６號,176209.479,2503029.915
64,6400100,中原里,1,七賢三路,,,,１１６之１號,176219.729,2503026.582
64,6400100,中原里,1,七賢三路,,,,１１６之２號,176221.185,2503023.598
64,6400100,中原里,1,七賢三路,,,,１１６之３號,176221.38,2503023.914
64,6400100,中原里,1,七賢三路,,,,１１６之４號,176224.58,2503024.914
64,6400100,中原里,1,七賢三路,,,,１１６之５號,176227.28,2503023.914
64,6400100,中原里,1,七賢三路,,,,１１６之６號,176233.48,2503017.914
64,6400100,中原里,3,七賢三路,,,,１１６之７號,176235.181,2503021.914
64,6400100,中原里,1,七賢三路,,,,１１８號,176211.179,2503033.915
64,6400100,中原里,3,七賢三路,,,,１２０號,176212.979,2503037.915
64,6400100,中原里,3,七賢三路,,,,１２２號,176215.579,2503040.915
64,6400100,中原里,3,七賢三路,,,,１２２之３號,176223.28,2503035.915
64,6400100,中原里,3,七賢三路,,,,１２２之７號,176229.946,2503034.565
64,6400100,中原里,3,七賢三路,,,,１２８號十樓之１,176220.84,2503052.184
64,6400100,中原里,3,七賢三路,,,,１２８號十樓之２,176220.84,2503052.184
64,6400100,中原里,3,七賢三路,,,,１２８號三樓之１,176220.84,2503052.184
64,6400100,中原里,3,七賢三路,,,,１２８號三樓之２,176220.84,2503052.184
