省市縣市代碼,鄉鎮市區代碼,村里,鄰,街、路段,地區,巷,弄,號,X,Y
66,6600100,大誠里,16,大誠街,,３９巷,,２之３之２號,217337.1278,2671158.6333
66,6600100,大誠里,15,大誠街,,,,１號,217244.0832,2671044.8955
66,6600100,大誠里,15,大誠街,,,,３號,217247.0878,2671047.5315
66,6600100,大誠里,15,大誠街,,,,３之１號,217249.8208,2671050.6425
66,6600100,大誠里,13,大誠街,,,,５之５之５號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之９之５號,217249.8483,2671062.5695
66,6600100,大誠里,13,大誠街,,,,５之６之９號,217252.9391,2671057.0304
66,6600100,大誠里,13,大誠街,,,,５之４之３號,217242.2688,2671056.0135
66,6600100,大誠里,12,大誠街,,,,５之８之１號,217237.8212,2671048.1969
66,6600100,大誠里,12,大誠街,,,,５之９之４號,217252.9391,2671057.0304
66,6600100,大誠里,13,大誠街,,,,５之６之３號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之８之５號,217249.8483,2671062.5695
66,6600100,大誠里,12,大誠街,,,,５之８之７號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之１０之８號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之１０之９號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之１０之２號,217240.1937,2671042.6681
66,6600100,大誠里,13,大誠街,,,,５之３之５號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之７之２號,217240.1937,2671042.6681
66,6600100,大誠里,12,大誠街,,,,５之７之９號,217252.9391,2671057.0304
66,6600100,大誠里,12,大誠街,,,,５之１０之１１號,217247.8321,2671074.8401
