省市縣市代碼,鄉鎮市區代碼,村里,鄰,街、路段,地區,巷,弄,號,X,Y
67,6700100,三仙里,17,三民路,,,,９７之３號,179641.98,2578414.33
67,6700100,三仙里,17,三民路,,,,９７號,179658.78,2578419.96
67,6700100,三仙里,17,三民路,,,,９７號之１,179653.45,2578418.27
67,6700100,三仙里,17,三民路,,,,９７號之２,179647.54,2578416.18
67,6700100,三仙里,17,三民路,,,,９９號之５,179620.0,2578408.74
67,6700100,三仙里,17,三民路,,,,９９號之７,179614.2,2578406.92
67,6700100,三仙里,17,三民路,,,,９９號之８,179624.99,2578392.98
67,6700100,三仙里,17,三民路,,,,９９號之１,179635.0,2578411.71
67,6700100,三仙里,17,三民路,,,,９９之１號,179634.92,2578411.57
67,6700100,三仙里,17,三民路,,,,９９之１０號,179618.37,2578383.99
67,6700100,三仙里,17,三民路,,,,９９之５號,179620.02,2578408.78
67,6700100,三仙里,17,三民路,,,,９９之９號,179617.85,2578387.43
67,6700100,三仙里,17,三民路,,,,９９號,179636.96,2578412.75
67,6700100,三仙里,17,三民路,,,,９９號之３,179628.49,2578410.63
67,6700100,三仙里,17,三民路,,,,９９號之４,179623.99,2578409.57
67,6700100,三仙里,17,三民路,,,,１０１之１５號,179611.34,2578353.75
67,6700100,三仙里,17,三民路,,,,１０１之１３號,179609.55,2578362.45
67,6700100,三仙里,17,三民路,,,,１０１號之１１,179608.37,2578370.23
67,6700100,三仙里,17,三民路,,,,１０１之１７號,179600.52,2578400.17
67,6700100,三仙里,17,三民路,,,,１０１號之１０,179607.47,2578373.87
